Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
2022,3,1395.277,6031.97,2871.541,55711.0,23523.0
2022,2,1468.333,5979.214,2723.285,556243.0,231609.0
2022,1,1533.24,6073.426,2219.533,545814.0,251996.0
2021,4,1657.615,5984.24,2072.236,523107.0,252596.0
2021,3,1950.631,5826.257,1566.048,492415.0,25019.0
2021,2,2018.587,5641.731,1472.246,476968.0,253552.0
2021,1,2175.211,5424.782,1362.976,434548.0,250455.0
2020,4,2213.949,5371.824,1311.199,421554.0,253036.0
2020,3,2263.889,5259.351,1170.879,413259.0,248821.0
2020,2,2295.533,5005.115,1106.725,376667.0,247016.0
2020,1,2299.457,4903.674,1047.817,352333.0,209145.0
2019,4,2414.575,4883.869,941295.0,340144.0,213298.0
2019,3,2909.805,4800.091,852221.0,338241.0,264326.0
2019,2,2990.457,4635.575,760794.0,308027.0,265328.0
2019,1,3132.789,4435.439,637099.0,276419.0,166389.0
2018,4,3329.027,4313.831,388013.0,264299.0,178485.0
2018,3,3521.447,4238.171,247366.0,246181.0,9387.0
2018,2,3557.216,4038.141,226285.0,194267.0,94535.0
2018,1,3574.294,3981.129,217460.0,1653.0,9887.0
2017,4,3584.311,3818.157,211425.0,155775.0,100554.0
2017,3,3622.575,3670.221,193964.0,106443.0,13174.0
2017,2,3723.518,3383.434,180777.0,85813.0,56122.0
2017,1,3708.898,3276.251,180146.0,84813.0,55746.0
2016,4,3722.794,3210.602,178070.0,85119.0,55088.0
2016,3,3776.442,3124.855,169898.0,81455.0,543.0
2016,2,3782.085,3035.272,167788.0,85452.0,59482.0
2016,1,3792.493,2806.359,164371.0,8537.0,58763.0
2015,4,3803.024,2898.226,139187.0,85726.0,58668.0
2015,3,3788.696,2840.203,162663.0,8453.0,58976.0
2015,2,3767.821,2756.294,150839.0,82077.0,59157.0
2015,1,3756.153,2668.248,168188.0,79098.0,66045.0
2014,4,3764.038,2536.219,149682.0,76984.0,71573.0
2014,3,3714.764,2569.868,155494.0,85096.0,70049.0
2014,2,3708.882,2461.67,149363.0,72405.0,72148.0
2014,1,3697.066,2407.33,150323.0,70749.0,7293.0
