Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps
2022,3,33013.0,96727.0,1161.37,1151.906,823505.0,479822.0,6995.75
2022,2,33667.0,99498.0,1193.09,1197.03,856562.0,485321.0,6741.922
2022,1,3489.0,10484.0,1263.273,1209.148,967508.0,509830.0,6336.187
2021,4,41262.0,28521.0,1413.208,1245.333,976539.0,558358.0,6032.322
2021,3,40174.0,41437.0,2550.229,1095.772,710122.0,536364.0,4948.174
2021,2,40172.0,42024.0,2531.271,1080.279,693277.0,647401.0,4661.291
2021,1,39487.0,41674.0,2593.477,1072.722,737930.0,595920.0,4379.965
2020,4,3951.0,42185.0,2622.638,1073.875,786595.0,582420.0,4239.237
2020,3,41038.0,44005.0,2637.984,1040.017,799350.0,538567.0,4053.461
2020,2,41038.0,4869.0,2651.502,1053.107,807775.0,523437.0,3711.499
2020,1,4255.0,5617.0,2649.819,1022.014,814470.0,532309.0,3500.882
2019,4,38272.0,2898.0,2792.307,1046.128,851619.0,1004.083,2830.746
2019,3,241713.0,80599.0,3309.137,1026.859,806466.0,1141.545,2314.898
2019,2,20279.0,9598.0,3444.458,871142.0,1169.632,1250.366,1677.83
2019,1,166573.0,195706.0,3428.759,882836.0,1464.748,1244.215,1138.728
2018,4,13874.0,201196.0,3337.982,882388.0,1472.634,1688.748,599579.0
2018,3,5675.0,220589.0,3401.277,859413.0,1607.137,1571.692,524777.0
2018,2,5972.0,219467.0,3316.868,979416.0,1905.839,1000.036,444391.0
2018,1,7309.0,215406.0,3272.724,976956.0,2068.087,862010.0,397977.0
2017,4,15041.0,221474.0,3773.159,1005.545,1730.353,631946.0,337559.0
2017,3,19022.0,217997.0,4062.226,1062.81,1592.304,353480.0,245790.0
2017,2,22366.0,222766.0,4416.065,990281.0,1342.0,231604.0,98635.0
2017,1,20653.0,230159.0,4584.534,975027.0,1129.987,210668.0,47990.0
2016,4,20724.0,233398.0,4673.339,971094.0,1038.029,169522.0,38590.0
2016,3,20104.0,294413.0,4816.081,936533.0,919208.0,124564.0,31022.0
2016,2,44008.0,384221.0,5058.481,796998.0,785759.0,73977.0,29020.0
2016,1,30428.0,40481.0,4944.358,762999.0,641646.0,27664.0,23380.0
2015,4,34243.0,427394.0,5049.64,726740.0,639011.0,17568.0,22170.0
2015,3,3503.0,455777.0,5087.802,701187.0,539414.0,13101.0,20677.0
2015,2,40723.0,500175.0,5138.431,645440.0,432762.0,10045.0,18529.0
2015,1,41158.0,516919.0,5121.423,571620.0,348102.0,7643.0,16347.0
2014,4,44075.0,554749.0,5084.556,496251.0,276254.0,4371.0,15229.0
2014,3,3743.0,608018.0,5153.437,373372.0,182483.0,507.0,12424.0
2014,2,41064.0,656408.0,5149.574,341689.0,147273.0,478.0,12259.0
2014,1,52684.0,687619.0,5130.294,289182.0,101127.0,345.0,11595.0
