Año,Trimestre,Ingresos (miles de pesos)
2022,3,67055.93
2022,2,60335.724
2022,1,55589.997
2021,4,45467.887
2021,3,42999.944
2021,2,38239.667
2021,1,36676.371
2020,4,33539.703
2020,3,31997.445
2020,2,32102.476
2020,1,29946.216
2019,4,24169.251
2019,3,21652.748
2019,2,20743.118
2019,1,20207.414
2018,4,16637.687
2018,3,15410.981
2018,2,14319.467
2018,1,13171.459
2017,4,11226.127
2017,3,10065.998
2017,2,9678.647
2017,1,8701.201
2016,4,7483.98
2016,3,6912.442
2016,2,6534.241
2016,1,5936.845
2015,4,5376.899
2015,3,5153.739
2015,2,4701.791
2015,1,4876.385
2014,4,3950.441
2014,3,3478.638
2014,2,3270.816
2014,1,2984.054
